               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.057898,            0.027919,                   0,             0.31737,             0.18182,              0.1864,            0.077847,            0.048075,            0.017579,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.056935,            0.027649,                   0,             0.20097,             0.20735,             0.20732,            0.093433,            0.048793,             0.01966,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.055503,            0.026589,                   0,             0.17024,             0.27273,             0.17727,            0.088284,            0.052067,            0.017901,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.051775,            0.031262,                   0,             0.45975,             0.27273,             0.18353,            0.087882,            0.046156,            0.018534,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.054047,            0.025799,                   0,             0.34685,             0.27273,             0.28767,             0.13703,            0.049485,            0.016479,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.05466,            0.027176,                   0,             0.13976,             0.36364,             0.20733,            0.083826,            0.045662,            0.018076,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.051266,            0.026555,                   0,             0.56741,             0.35852,             0.36479,             0.12324,            0.047102,            0.017002,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.052608,            0.026847,                   0,             0.42175,             0.36364,             0.36456,              0.1911,            0.046384,            0.015966,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.05336,             0.02691,                   0,             0.48409,             0.36364,              0.3439,             0.11366,            0.049553,            0.017295,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.051642,            0.025924,                   0,             0.93402,             0.27273,             0.39128,             0.14121,            0.047744,             0.01625,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.050687,            0.027638,                   0,             0.20781,             0.35801,             0.24093,            0.059556,            0.054502,            0.016446,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.050358,            0.027106,                   0,             0.58605,             0.27273,             0.33624,             0.16817,            0.046033,            0.017406,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.049108,            0.026229,                   0,             0.67916,             0.27273,             0.31619,             0.17498,            0.046522,            0.016599,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.049777,            0.025578,                   0,             0.69417,             0.27273,             0.32441,             0.20233,            0.043863,            0.016992,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.047564,            0.027125,                   0,             0.91669,             0.27273,             0.41201,              0.1646,            0.048782,             0.01567,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.048902,            0.025606,                   0,             0.34725,             0.53265,             0.28846,             0.11945,            0.048857,            0.015628,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.047481,            0.025469,                   0,             0.31383,             0.36364,             0.36539,             0.19009,            0.047376,            0.015044,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.049387,            0.025423,                   0,             0.85348,             0.27273,             0.41392,             0.21262,            0.045607,            0.015635,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.048251,            0.026915,                   0,             0.44186,             0.72727,             0.48633,             0.25367,            0.044064,            0.015671,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.047318,            0.026231,                   0,             0.48856,             0.54545,             0.50505,             0.26745,            0.046954,            0.014337,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.044727,            0.024586,                   0,             0.64057,             0.45455,             0.51052,             0.24063,             0.04601,            0.015129,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.046365,            0.024934,                   0,             0.53854,             0.45455,              0.4817,             0.29447,            0.043932,            0.014748,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.044964,            0.023912,                   0,             0.67133,             0.36364,             0.49206,             0.26004,             0.04682,            0.013782,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.045168,             0.02548,                   0,             0.63888,             0.45455,             0.58191,             0.28108,            0.044008,            0.014253,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.046168,            0.022988,                   0,             0.56243,             0.36364,             0.44096,              0.2373,            0.044642,            0.014721,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.045989,            0.024306,                   0,             0.60813,             0.45455,             0.43968,             0.21735,            0.046025,            0.015263,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.046345,            0.024239,                   0,             0.50371,             0.72727,             0.60287,             0.27254,            0.043855,            0.015587,                   0,            0.003763,            0.003763,            0.003763
                  65,              0.0443,            0.023206,                   0,             0.55791,             0.36364,             0.47199,             0.24451,            0.042163,            0.015773,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.044285,            0.024127,                   0,             0.75283,             0.36364,             0.49582,             0.27458,            0.044094,            0.014713,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.041967,             0.02196,                   0,             0.62672,             0.63636,             0.64362,             0.23239,            0.044724,             0.01399,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.044231,            0.023629,                   0,             0.68591,             0.40037,             0.57479,              0.2675,            0.045602,            0.014426,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.041469,            0.022828,                   0,             0.44797,             0.63636,             0.62845,             0.29584,            0.048483,            0.014079,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.042555,            0.022588,                   0,             0.51084,             0.63636,             0.52908,             0.23181,            0.046355,             0.01568,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.042445,            0.021799,                   0,             0.45845,             0.45455,             0.39695,             0.18811,            0.048263,            0.014299,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.042964,            0.021821,                   0,             0.71184,             0.45455,             0.47832,             0.19638,            0.043737,            0.015069,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.041302,            0.020351,                   0,             0.52242,             0.54545,             0.56418,             0.26209,            0.045143,             0.01374,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.041496,            0.020618,                   0,             0.66143,             0.63636,             0.60571,             0.31583,            0.043958,            0.013821,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.041088,            0.022142,                   0,             0.52944,             0.72727,              0.5977,             0.35611,             0.03944,            0.013668,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.040229,            0.023356,                   0,             0.78865,             0.45455,             0.52896,             0.30919,            0.044455,            0.013968,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.040891,            0.020437,                   0,              0.7606,             0.36364,             0.49224,             0.22152,            0.046148,            0.013942,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.039855,            0.021669,                   0,             0.67167,             0.45455,             0.45191,             0.26428,            0.041451,            0.014337,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.039086,            0.021063,                   0,             0.72176,             0.45455,             0.55252,             0.30144,            0.041869,            0.013282,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.037294,             0.02109,                   0,             0.74552,             0.54545,             0.60303,             0.32597,            0.042349,            0.013474,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.038311,            0.021804,                   0,             0.75804,             0.63636,             0.60947,             0.29811,             0.04044,            0.013834,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.037462,             0.01919,                   0,             0.81418,             0.54545,             0.63146,             0.35092,            0.040716,            0.013263,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.038678,            0.020578,                   0,              0.7525,             0.63636,             0.63788,             0.35262,            0.040871,             0.01341,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.037812,             0.02258,                   0,             0.68361,             0.54545,             0.63371,             0.32174,            0.040191,            0.013771,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.038593,            0.019613,                   0,             0.85228,             0.52687,             0.66518,             0.38339,             0.03936,             0.01377,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.037058,            0.017547,                   0,             0.56221,             0.63636,             0.64833,             0.30221,            0.043556,            0.013531,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.038361,            0.020326,                   0,             0.95392,             0.45455,             0.63878,             0.32002,            0.040874,            0.013485,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.037201,            0.019516,                   0,             0.71087,             0.63636,             0.69391,              0.3827,            0.039594,            0.013092,                   0,            0.001387,            0.001387,            0.001387
