               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.056791,            0.019483,                   0,             0.53434,             0.42105,             0.35817,             0.16395,            0.028252,           0.0086025,                   0,           0.0096535,           0.0096535,           0.0096535
                  37,             0.05516,            0.019692,                   0,             0.47377,             0.21053,             0.20523,             0.05907,            0.034648,           0.0089168,                   0,           0.0096436,           0.0096436,           0.0096436
                  38,            0.054439,            0.019541,                   0,             0.44301,             0.42105,             0.29977,             0.12534,            0.025816,            0.010952,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,             0.05599,            0.019536,                   0,             0.33318,             0.26316,              0.2643,            0.087278,            0.027504,           0.0077911,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,            0.054886,            0.017992,                   0,             0.60817,             0.42105,             0.40565,             0.25283,             0.02487,           0.0080605,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,            0.053842,             0.01917,                   0,             0.23908,             0.52632,             0.33123,             0.18221,            0.024829,           0.0080677,                   0,            0.009604,            0.009604,            0.009604
                  42,            0.051891,            0.018236,                   0,             0.36793,             0.31579,             0.26162,             0.10807,            0.026349,           0.0094162,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,            0.055119,            0.017225,                   0,             0.60423,             0.26316,             0.36668,             0.13927,            0.027017,           0.0072644,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,            0.053196,            0.017644,                   0,             0.50557,             0.31579,             0.37913,             0.16088,            0.025394,           0.0075668,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,            0.051033,            0.017633,                   0,              0.8842,             0.40329,             0.49877,             0.24621,            0.023064,           0.0078697,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,            0.051423,             0.01686,                   0,             0.47435,             0.31579,             0.36872,             0.18952,            0.026305,           0.0072133,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,             0.05155,            0.017449,                   0,             0.56157,             0.36842,             0.36892,             0.20436,            0.022342,           0.0073422,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,            0.051807,            0.017708,                   0,              0.3502,             0.36842,             0.42398,             0.20803,            0.023657,           0.0070919,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,            0.049333,            0.016681,                   0,              0.6489,             0.31579,             0.37693,             0.19489,            0.023241,           0.0082312,                   0,           0.0095248,           0.0095248,           0.0095248
