               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.057705,            0.012783,                   0,             0.11826,             0.21053,             0.10298,            0.055402,            0.055355,           0.0064178,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.055431,            0.012546,                   0,             0.16713,             0.10526,            0.090438,            0.038056,            0.063529,           0.0050031,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.056119,            0.012943,                   0,             0.14427,             0.10526,             0.13253,            0.048799,            0.054892,            0.007189,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.055341,            0.012778,                   0,             0.26873,             0.36842,             0.19594,             0.07574,            0.054412,           0.0062986,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.054019,            0.012192,                   0,             0.17508,             0.21053,            0.057603,            0.022709,            0.070733,           0.0050487,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.054895,            0.012363,                   0,                   1,            0.099636,             0.14585,            0.070605,            0.059338,           0.0061454,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.054412,            0.012636,                   0,               0.127,             0.36842,             0.12928,            0.047676,            0.052204,           0.0058739,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.054971,            0.011742,                   0,             0.23141,             0.26316,             0.17521,            0.090184,            0.053772,           0.0056777,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.051711,             0.01209,                   0,             0.24031,             0.21053,             0.21539,            0.095071,            0.054293,           0.0062135,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.052201,            0.011478,                   0,             0.19529,             0.31579,             0.24523,             0.08226,            0.054008,           0.0063219,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.052327,            0.011921,                   0,             0.16718,             0.15789,            0.069026,            0.019938,              0.0755,           0.0045515,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.052398,             0.01178,                   0,             0.39764,             0.42105,             0.34476,             0.13094,            0.056816,           0.0051869,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.052398,            0.011004,                   0,             0.26604,             0.52632,              0.3227,             0.11949,            0.053663,            0.005585,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.050914,            0.011826,                   0,             0.36049,             0.36842,             0.40248,             0.18141,            0.049245,            0.005479,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.050165,            0.011461,                   0,             0.28134,             0.42105,               0.279,             0.12718,            0.049388,           0.0067027,                   0,            0.008317,            0.008317,            0.008317
                  53,              0.0504,             0.01114,                   0,             0.29266,             0.31579,             0.26337,            0.089072,            0.056466,           0.0056559,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.051543,            0.010456,                   0,             0.30578,             0.52632,             0.25292,             0.13787,             0.05182,           0.0062607,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.049911,            0.011461,                   0,             0.41335,             0.36842,              0.2389,             0.12527,            0.046663,           0.0060524,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.050144,            0.011709,                   0,             0.47263,             0.31579,             0.31744,             0.13677,            0.055208,            0.004977,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.048648,            0.011282,                   0,             0.44476,             0.46416,             0.34797,             0.22127,            0.047782,           0.0059162,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.048676,            0.010952,                   0,             0.57311,             0.42105,             0.45521,             0.22632,            0.047767,            0.005116,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.047555,            0.011677,                   0,             0.52156,             0.42105,             0.44228,             0.18366,            0.048291,           0.0049709,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.048777,            0.011043,                   0,             0.71552,             0.31579,             0.48299,             0.24272,            0.043932,             0.00605,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.046384,            0.010816,                   0,             0.53677,             0.36842,             0.34698,             0.20082,            0.051504,           0.0054496,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.048573,            0.011466,                   0,             0.52462,             0.52293,             0.48291,             0.26488,            0.048794,           0.0047821,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.046422,            0.010431,                   0,             0.44433,             0.31579,             0.38609,             0.21112,            0.043063,           0.0052312,                   0,            0.007954,            0.007954,            0.007954
                  64,             0.04668,             0.01038,                   0,             0.44065,             0.62222,             0.47249,             0.27207,            0.040414,           0.0053037,                   0,            0.007921,            0.007921,            0.007921
